codigo_krona;descricao_krona;linha_krona;funcao_krona;aplicacao_krona;caracteristicas_tecnicas;normas_referencia;beneficios;descricao_matriz;linha_matriz;familia_krona;unidade_venda;tipo_embalagem;comprimento_matriz;altura_matriz;largura_matriz;quantidade_embalagem;ncm_krona;codigo_barras_produto;codigo_barras_embalagem;codigo_barras_reembalagem;descricao_normalizada;categoria_detectada;eh_tubo;diametro_mm;comprimento_detectado_m;comprimento_matriz_m;comprimento_final_m;diametro_final_mm
331;ADAPTADOR SOLD CURTO 25MM X 3/4;CONEXOES SOLDAVEIS;Efetuar a adaptação entre a linha soldável e roscável, adaptando a ponta do tubo para receber uma ligação ou conexão roscável.;Utilizada em instalação hidráulica residencial, comercial e industrial nas tubulações de água fria, Por exemplo: em ligações que tenham a necessidade de conectar uma peça com rosca fêmea.;"*Material: PVC (Policloreto de Vinila). 
*Processo: Injeção 
* Cor: Marrom 
*Conexão: Ponta Rosca / Bolsa Solda 
*Temperatura x Pressão 
*45 ͦC x 7,5 kgf/cm²";"*ABNT NBR 5648 
*ABNT NBR 5626";"*Sem efeito nocivo ao organismo, atóxico. 
*Resistente a corrosão, não enferruja. 
* Superfície interna lisa, não incrusta.";ADAPTADOR SOLD CURTO 25MM X 3/4;CONEXOES SOLDAVEIS;AF;PC;Sacos;33.8;33.8;40.0;50.0;3917.40.90;7897801300490;17897801300497;47897801300498;ADAPTADOR SOLDAVEL CURTO 25MM X 3 4;ADAPTADOR;False;25.0;;0.0338;0.0338;25.0
332;ADAPTADOR SOLD CURTO 32MM X 1;CONEXOES SOLDAVEIS;Efetuar a adaptação entre a linha soldável e roscável, adaptando a ponta do tubo para receber uma ligação ou conexão roscável.;Utilizada em instalação hidráulica residencial, comercial e industrial nas tubulações de água fria, Por exemplo: em ligações que tenham a necessidade de conectar uma peça com rosca fêmea.;"*Material: PVC (Policloreto de Vinila). 
*Processo: Injeção 
* Cor: Marrom 
*Conexão: Ponta Rosca / Bolsa Solda 
*Temperatura x Pressão 
*45 ͦC x 7,5 kgf/cm²";"*ABNT NBR 5648 
*ABNT NBR 5626";"*Sem efeito nocivo ao organismo, atóxico. 
*Resistente a corrosão, não enferruja. 
* Superfície interna lisa, não incrusta.";ADAPTADOR SOLD CURTO 32MM X 1;CONEXOES SOLDAVEIS;AF;PC;Sacos;42.0;42.0;47.0;25.0;3917.40.90;7897801302333;17897801302330;47897801302331;ADAPTADOR SOLDAVEL CURTO 32MM X 1;ADAPTADOR;False;32.0;;0.042;0.042;32.0
333;ADAPTADOR SOLD CURTO 40MM X 1.1/4;CONEXOES SOLDAVEIS;Efetuar a adaptação entre a linha soldável e roscável, adaptando a ponta do tubo para receber uma ligação ou conexão roscável.;Utilizada em instalação hidráulica residencial, comercial e industrial nas tubulações de água fria, Por exemplo: em ligações que tenham a necessidade de conectar uma peça com rosca fêmea.;"*Material: PVC (Policloreto de Vinila). 
*Processo: Injeção 
* Cor: Marrom 
*Conexão: Ponta Rosca / Bolsa Solda 
*Temperatura x Pressão 
*45 ͦC x 7,5 kgf/cm²";"*ABNT NBR 5648 
*ABNT NBR 5626";"*Sem efeito nocivo ao organismo, atóxico. 
*Resistente a corrosão, não enferruja. 
* Superfície interna lisa, não incrusta.";ADAPTADOR SOLD CURTO 40MM X 1.1/4;CONEXOES SOLDAVEIS;AF;PC;Sacos;51.6;51.6;53.8;10.0;3917.40.90;7897801302562;17897801302569;27897801302566;ADAPTADOR SOLDAVEL CURTO 40MM X 1.1 4;ADAPTADOR;False;40.0;;0.0516;0.0516;40.0
336;ADAPTADOR SOLD CURTO 50MM X 1.1/2;CONEXOES SOLDAVEIS;Efetuar a adaptação entre a linha soldável e roscável, adaptando a ponta do tubo para receber uma ligação ou conexão roscável.;Utilizada em instalação hidráulica residencial, comercial e industrial nas tubulações de água fria, Por exemplo: em ligações que tenham a necessidade de conectar uma peça com rosca fêmea.;"*Material: PVC (Policloreto de Vinila). 
*Processo: Injeção 
* Cor: Marrom 
*Conexão: Ponta Rosca / Bolsa Solda 
*Temperatura x Pressão 
*45 ͦC x 7,5 kgf/cm²";"*ABNT NBR 5648 
*ABNT NBR 5626";"*Sem efeito nocivo ao organismo, atóxico. 
*Resistente a corrosão, não enferruja. 
* Superfície interna lisa, não incrusta.";ADAPTADOR SOLD CURTO 50MM X 1.1/2;CONEXOES SOLDAVEIS;AF;PC;Sacos;63.0;63.0;63.2;25.0;3917.40.90;7897801300667;17897801300664;27897801300661;ADAPTADOR SOLDAVEL CURTO 50MM X 1.1 2;ADAPTADOR;False;50.0;;0.063;0.063;50.0
337;ADAPTADOR SOLD CURTO 60MM X 2;CONEXOES SOLDAVEIS;Efetuar a adaptação entre a linha soldável e roscável, adaptando a ponta do tubo para receber uma ligação ou conexão roscável.;Utilizada em instalação hidráulica residencial, comercial e industrial nas tubulações de água fria, Por exemplo: em ligações que tenham a necessidade de conectar uma peça com rosca fêmea.;"*Material: PVC (Policloreto de Vinila). 
*Processo: Injeção 
* Cor: Marrom 
*Conexão: Ponta Rosca / Bolsa Solda 
*Temperatura x Pressão 
*45 ͦC x 7,5 kgf/cm²";"*ABNT NBR 5648 
*ABNT NBR 5626";"*Sem efeito nocivo ao organismo, atóxico. 
*Resistente a corrosão, não enferruja. 
* Superfície interna lisa, não incrusta.";ADAPTADOR SOLD CURTO 60MM X 2;CONEXOES SOLDAVEIS;AF;PC;Sacos;74.0;74.0;68.7;10.0;3917.40.90;7897801302944;17897801302941;27897801302948;ADAPTADOR SOLDAVEL CURTO 60MM X 2;ADAPTADOR;False;60.0;;0.074;0.074;60.0
338;ADAPTADOR SOLD CURTO 75MM X 2.1/2;CONEXOES SOLDAVEIS;Efetuar a adaptação entre a linha soldável e roscável, adaptando a ponta do tubo para receber uma ligação ou conexão roscável.;Utilizada em instalação hidráulica residencial, comercial e industrial nas tubulações de água fria, Por exemplo: em ligações que tenham a necessidade de conectar uma peça com rosca fêmea.;"*Material: PVC (Policloreto de Vinila). 
*Processo: Injeção 
* Cor: Marrom 
*Conexão: Ponta Rosca / Bolsa Solda 
*Temperatura x Pressão 
*45 ͦC x 7,5 kgf/cm²";"*ABNT NBR 5648 
*ABNT NBR 5626";"*Sem efeito nocivo ao organismo, atóxico. 
*Resistente a corrosão, não enferruja. 
* Superfície interna lisa, não incrusta.";ADAPTADOR SOLD CURTO 75MM X 2.1/2;CONEXOES SOLDAVEIS;AF;PC;Sacos;85.0;92.0;92.0;5.0;3917.40.90;7897801308946;17897801308943;27897801308940;ADAPTADOR SOLDAVEL CURTO 75MM X 2.1 2;ADAPTADOR;False;75.0;;0.085;0.085;75.0
339;ADAPTADOR SOLD CURTO 85MM X 3;CONEXOES SOLDAVEIS;Efetuar a adaptação entre a linha soldável e roscável, adaptando a ponta do tubo para receber uma ligação ou conexão roscável.;Utilizada em instalação hidráulica residencial, comercial e industrial nas tubulações de água fria, Por exemplo: em ligações que tenham a necessidade de conectar uma peça com rosca fêmea.;"*Material: PVC (Policloreto de Vinila). 
*Processo: Injeção 
* Cor: Marrom 
*Conexão: Ponta Rosca / Bolsa Solda 
*Temperatura x Pressão 
*45 ͦC x 7,5 kgf/cm²";"*ABNT NBR 5648 
*ABNT NBR 5626";"*Sem efeito nocivo ao organismo, atóxico. 
*Resistente a corrosão, não enferruja. 
* Superfície interna lisa, não incrusta.";ADAPTADOR SOLD CURTO 85MM X 3;CONEXOES SOLDAVEIS;AF;PC;Sacos;95.0;103.0;103.0;3.0;3917.40.90;7897801308915;17897801308912;27897801308919;ADAPTADOR SOLDAVEL CURTO 85MM X 3;ADAPTADOR;False;85.0;;0.095;0.095;85.0
34;TUBO PVC SOLDAVEL - 3M - 32MM;TUBOS PVC SOLDAVEL;;;;;;TUBO PVC SOLDAVEL - 3M - 32MM;TUBOS PVC SOLDAVEL;AF;BR;Amarrados;3000.0;32.0;32.0;10.0;3917.23.00;7897801308991;17897801308998;27897801308995;TUBO PVC SOLDAVEL - 3M - 32MM;TUBO;True;32.0;3.0;3.0;3.0;32.0
340;ADAPTADOR SOLD CURTO 110MM X 4;CONEXOES SOLDAVEIS;Efetuar a adaptação entre a linha soldável e roscável, adaptando a ponta do tubo para receber uma ligação ou conexão roscável.;Utilizada em instalação hidráulica residencial, comercial e industrial nas tubulações de água fria, Por exemplo: em ligações que tenham a necessidade de conectar uma peça com rosca fêmea.;"*Material: PVC (Policloreto de Vinila). 
*Processo: Injeção 
* Cor: Marrom 
*Conexão: Ponta Rosca / Bolsa Solda 
*Temperatura x Pressão 
*45 ͦC x 7,5 kgf/cm²";"*ABNT NBR 5648 
*ABNT NBR 5626";"*Sem efeito nocivo ao organismo, atóxico. 
*Resistente a corrosão, não enferruja. 
* Superfície interna lisa, não incrusta.";ADAPTADOR SOLD CURTO 110MM X 4;CONEXOES SOLDAVEIS;AF;PC;Sacos;130.0;120.0;130.0;1.0;3917.40.90;7897801309288;17897801309285;27897801309282;ADAPTADOR SOLDAVEL CURTO 110MM X 4;ADAPTADOR;False;110.0;;0.13;0.13;110.0
341;ADAPTADOR SOLD. P/CX.DAGUA 20MM X 1/2;ADAP.P/CX.D AGUA SOLD.;Efetua a adaptação na entrada e saída de caixa d’água, possuí gabarito, fundo fixo, móvel e vedação.;Utilizada em instalação hidráulica residencial, comercial e industrial nas tubulações de água fria, indicado para utilização em entrada e saída de caixa d’água.;"*Material: PVC (Policloreto de Vinila). 
*Processo: Injeção 
* Cor: Marrom 
*Conexão: Bolsa Roscável BSP para a boia /
Bolsa Soldável 
*Temperatura x Pressão 
*45 ͦC x 7,5 kgf/cm";"*ABNT NBR 5648
*ABNT NBR 5626";"*Sem efeito nocivo ao organismo, atóxico. 
* Resistente a corrosão, não enferruja. 
* Juntas soldáveis a frio. 
*Longa vida útil. 
*Dispensa o uso de ferramentas.";ADAPTADOR SOLD. P/CX.DAGUA 20MM X 1/2;ADAP.P/CX.D AGUA SOLD.;AF;PC;Sacos;64.0;64.0;61.0;12.0;3917.40.90;7897801300353;17897801300350;47897801300351;ADAPTADOR SOLDAVEL. P CX.DAGUA 20MM X 1 2;ADAPTADOR;False;20.0;;0.064;0.064;20.0
342;ADAPTADOR SOLD. P/CX.DAGUA 25MM X 3/4;ADAP.P/CX.D AGUA SOLD.;Efetua a adaptação na entrada e saída de caixa d’água, possuí gabarito, fundo fixo, móvel e vedação.;Utilizada em instalação hidráulica residencial, comercial e industrial nas tubulações de água fria, indicado para utilização em entrada e saída de caixa d’água.;"*Material: PVC (Policloreto de Vinila). 
*Processo: Injeção 
* Cor: Marrom 
*Conexão: Bolsa Roscável BSP para a boia /
Bolsa Soldável 
*Temperatura x Pressão 
*45 ͦC x 7,5 kgf/cm";"*ABNT NBR 5648
*ABNT NBR 5626";"*Sem efeito nocivo ao organismo, atóxico. 
* Resistente a corrosão, não enferruja. 
* Juntas soldáveis a frio. 
*Longa vida útil. 
*Dispensa o uso de ferramentas.";ADAPTADOR SOLD. P/CX.DAGUA 25MM X 3/4;ADAP.P/CX.D AGUA SOLD.;AF;PC;Sacos;70.0;70.0;61.0;12.0;3917.40.90;7897801300360;17897801300367;47897801300368;ADAPTADOR SOLDAVEL. P CX.DAGUA 25MM X 3 4;ADAPTADOR;False;25.0;;0.07;0.07;25.0
343;ADAPTADOR SOLD. P/CX.DAGUA 32MM X 1;ADAP.P/CX.D AGUA SOLD.;Efetua a adaptação na entrada e saída de caixa d’água, possuí gabarito, fundo fixo, móvel e vedação.;Utilizada em instalação hidráulica residencial, comercial e industrial nas tubulações de água fria, indicado para utilização em entrada e saída de caixa d’água.;"*Material: PVC (Policloreto de Vinila). 
*Processo: Injeção 
* Cor: Marrom 
*Conexão: Bolsa Roscável BSP para a boia /
Bolsa Soldável 
*Temperatura x Pressão 
*45 ͦC x 7,5 kgf/cm";"*ABNT NBR 5648
*ABNT NBR 5626";"*Sem efeito nocivo ao organismo, atóxico. 
* Resistente a corrosão, não enferruja. 
* Juntas soldáveis a frio. 
*Longa vida útil. 
*Dispensa o uso de ferramentas.";ADAPTADOR SOLD. P/CX.DAGUA 32MM X  1;ADAP.P/CX.D AGUA SOLD.;AF;PC;Sacos;81.0;81.0;70.0;6.0;3917.40.90;7897801300988;17897801300985;47897801300986;ADAPTADOR SOLDAVEL. P CX.DAGUA 32MM X 1;ADAPTADOR;False;32.0;;0.081;0.081;32.0
344;ADAPTADOR SOLD. P/CX.DAGUA 40MM X 1.1/4;ADAP.P/CX.D AGUA SOLD.;Efetua a adaptação na entrada e saída de caixa d’água, possuí gabarito, fundo fixo, móvel e vedação.;Utilizada em instalação hidráulica residencial, comercial e industrial nas tubulações de água fria, indicado para utilização em entrada e saída de caixa d’água.;"*Material: PVC (Policloreto de Vinila). 
*Processo: Injeção 
* Cor: Marrom 
*Conexão: Bolsa Roscável BSP para a boia /
Bolsa Soldável 
*Temperatura x Pressão 
*45 ͦC x 7,5 kgf/cm";"*ABNT NBR 5648
*ABNT NBR 5626";"*Sem efeito nocivo ao organismo, atóxico. 
* Resistente a corrosão, não enferruja. 
* Juntas soldáveis a frio. 
*Longa vida útil. 
*Dispensa o uso de ferramentas.";ADAPTADOR SOLD. P/CX.DAGUA 40MM X 1.1/4;ADAP.P/CX.D AGUA SOLD.;AF;PC;Sacos;89.0;89.0;70.0;6.0;3917.40.90;7897801302579;17897801302576;47897801302577;ADAPTADOR SOLDAVEL. P CX.DAGUA 40MM X 1.1 4;ADAPTADOR;False;40.0;;0.089;0.089;40.0
345;ADAPTADOR SOLD. P/CX.DAGUA 50MM X 1.1/2;ADAP.P/CX.D AGUA SOLD.;Efetua a adaptação na entrada e saída de caixa d’água, possuí gabarito, fundo fixo, móvel e vedação.;Utilizada em instalação hidráulica residencial, comercial e industrial nas tubulações de água fria, indicado para utilização em entrada e saída de caixa d’água.;"*Material: PVC (Policloreto de Vinila). 
*Processo: Injeção 
* Cor: Marrom 
*Conexão: Bolsa Roscável BSP para a boia /
Bolsa Soldável 
*Temperatura x Pressão 
*45 ͦC x 7,5 kgf/cm";"*ABNT NBR 5648
*ABNT NBR 5626";"*Sem efeito nocivo ao organismo, atóxico. 
* Resistente a corrosão, não enferruja. 
* Juntas soldáveis a frio. 
*Longa vida útil. 
*Dispensa o uso de ferramentas.";ADAPTADOR SOLD. P/CX.DAGUA 50MM X 1.1/2;ADAP.P/CX.D AGUA SOLD.;AF;PC;Sacos;95.0;95.0;67.5;6.0;3917.40.90;7897801300377;17897801300374;47897801300375;ADAPTADOR SOLDAVEL. P CX.DAGUA 50MM X 1.1 2;ADAPTADOR;False;50.0;;0.095;0.095;50.0
346;ADAPTADOR SOLD. P/CX.DAGUA 60MM X 2;ADAP.P/CX.D AGUA SOLD.;Efetua a adaptação na entrada e saída de caixa d’água, possuí gabarito, fundo fixo, móvel e vedação.;Utilizada em instalação hidráulica residencial, comercial e industrial nas tubulações de água fria, indicado para utilização em entrada e saída de caixa d’água.;"*Material: PVC (Policloreto de Vinila). 
*Processo: Injeção 
* Cor: Marrom 
*Conexão: Bolsa Roscável BSP para a boia /
Bolsa Soldável 
*Temperatura x Pressão 
*45 ͦC x 7,5 kgf/cm";"*ABNT NBR 5648
*ABNT NBR 5626";"*Sem efeito nocivo ao organismo, atóxico. 
* Resistente a corrosão, não enferruja. 
* Juntas soldáveis a frio. 
*Longa vida útil. 
*Dispensa o uso de ferramentas.";ADAPTADOR SOLD. P/CX.DAGUA 60MM X 2;ADAP.P/CX.D AGUA SOLD.;AF;PC;Sacos;109.0;109.0;75.0;6.0;3917.40.90;7897801303002;17897801303009;47897801303000;ADAPTADOR SOLDAVEL. P CX.DAGUA 60MM X 2;ADAPTADOR;False;60.0;;0.109;0.109;60.0
347;ADAPTADOR SOLD. P/CX.DAGUA 75MM X 2 1/2;ADAP.P/CX.D AGUA SOLD.;Efetua a adaptação na entrada e saída de caixa d’água, possuí gabarito, fundo fixo, móvel e vedação.;Utilizada em instalação hidráulica residencial, comercial e industrial nas tubulações de água fria, indicado para utilização em entrada e saída de caixa d’água.;"*Material: PVC (Policloreto de Vinila). 
*Processo: Injeção 
* Cor: Marrom 
*Conexão: Bolsa Roscável BSP para a boia /
Bolsa Soldável 
*Temperatura x Pressão 
*45 ͦC x 7,5 kgf/cm";"*ABNT NBR 5648
*ABNT NBR 5626";"*Sem efeito nocivo ao organismo, atóxico. 
* Resistente a corrosão, não enferruja. 
* Juntas soldáveis a frio. 
*Longa vida útil. 
*Dispensa o uso de ferramentas.";ADAPTADOR SOLD. P/CX.DAGUA 75MM X 2 1/2;ADAP.P/CX.D AGUA SOLD.;AF;PC;Sacos;140.0;100.0;140.0;1.0;3917.40.90;7897801311908;17897801311905;27897801311902;ADAPTADOR SOLDAVEL. P CX.DAGUA 75MM X 2 1 2;ADAPTADOR;False;75.0;;0.14;0.14;75.0
348;ADAPTADOR SOLD. P/CX.DAGUA 85MM X 3;ADAP.P/CX.D AGUA SOLD.;Efetua a adaptação na entrada e saída de caixa d’água, possuí gabarito, fundo fixo, móvel e vedação.;Utilizada em instalação hidráulica residencial, comercial e industrial nas tubulações de água fria, indicado para utilização em entrada e saída de caixa d’água.;"*Material: PVC (Policloreto de Vinila). 
*Processo: Injeção 
* Cor: Marrom 
*Conexão: Bolsa Roscável BSP para a boia /
Bolsa Soldável 
*Temperatura x Pressão 
*45 ͦC x 7,5 kgf/cm";"*ABNT NBR 5648
*ABNT NBR 5626";"*Sem efeito nocivo ao organismo, atóxico. 
* Resistente a corrosão, não enferruja. 
* Juntas soldáveis a frio. 
*Longa vida útil. 
*Dispensa o uso de ferramentas.";ADAPTADOR SOLD. P/CX.DAGUA 85MM X 3;ADAP.P/CX.D AGUA SOLD.;AF;PC;Sacos;100.0;100.0;160.0;1.0;3917.40.90;7897801311915;17897801311912;27897801311919;ADAPTADOR SOLDAVEL. P CX.DAGUA 85MM X 3;ADAPTADOR;False;85.0;;0.1;0.1;85.0
349;ADAPTADOR SOLD. P/CX.DAGUA 110MM X 4;ADAP.P/CX.D AGUA SOLD.;Efetua a adaptação na entrada e saída de caixa d’água, possuí gabarito, fundo fixo, móvel e vedação.;Utilizada em instalação hidráulica residencial, comercial e industrial nas tubulações de água fria, indicado para utilização em entrada e saída de caixa d’água.;"*Material: PVC (Policloreto de Vinila). 
*Processo: Injeção 
* Cor: Marrom 
*Conexão: Bolsa Roscável BSP para a boia /
Bolsa Soldável 
*Temperatura x Pressão 
*45 ͦC x 7,5 kgf/cm";"*ABNT NBR 5648
*ABNT NBR 5626";"*Sem efeito nocivo ao organismo, atóxico. 
* Resistente a corrosão, não enferruja. 
* Juntas soldáveis a frio. 
*Longa vida útil. 
*Dispensa o uso de ferramentas.";ADAPTADOR SOLD. P/CX.DAGUA 110MM X 4;ADAP.P/CX.D AGUA SOLD.;AF;PC;Sacos;200.0;140.0;200.0;1.0;3917.40.90;7897801311922;17897801311929;27897801311926;ADAPTADOR SOLDAVEL. P CX.DAGUA 110MM X 4;ADAPTADOR;False;110.0;;0.2;0.2;110.0
35;TUBO PVC SOLDAVEL - 3M - 40MM;TUBOS PVC SOLDAVEL;;;;;;TUBO PVC SOLDAVEL - 3M - 40MM;TUBOS PVC SOLDAVEL;AF;BR;Amarrados;3000.0;40.0;40.0;5.0;3917.23.00;7897801309004;17897801309001;27897801309008;TUBO PVC SOLDAVEL - 3M - 40MM;TUBO;True;40.0;3.0;3.0;3.0;40.0
359;BUCHA RED.SOLD.CURTA 110 X 85MM;CONEXOES SOLDAVEIS;;;;;;BUCHA RED.SOLD.CURTA  110 X 85MM;CONEXOES SOLDAVEIS;AF;PC;Sacos;110.0;60.0;110.0;5.0;3917.40.90;7897801311816;17897801311813;27897801311810;BUCHA RED.SOLDAVEL.CURTA 110 X 85MM;BUCHA;False;85.0;;0.11;0.11;85.0
